Type,Code,Name (Khmer),Name (Latin),Reference,Official Note,Note (by Checker)
????,6050502,????????,Prey Kdei,????????? ??? ???.?,,
????,6050503,?????????,Tang Stoung,????????? ??? ???.?,,
????,6050504,????,Thmei,????????? ??? ???.?,,
????,6050505,??????,Souriya,????????? ??? ???.?,,
????,6050506,????????,Tang Krang,????????? ??? ???.?,,
????,6050507,?????????,Tuek Andoung,????????? ??? ???.?,,
????,6050508,??????????,Kampong Chheu Teal,????????? ??? ???.?,,
????,6050509,????????,Kouk Srok,????????? ??? ???.?,,
????,6050510,???,Choam,????????? ??? ???.?,,
????,6050511,????????????,Kampong Krasang,????????? ??? ???.?,,
????,6050512,??????,Ta Paong,????????? ??? ???.?,,
????,6050513,??????,Pralay,????????? ??? ???.?,,
????,6050514,?????,Chi Neang,????????? ??? ???.?,,
????,6050515,??????????,Krabau Sraong,????????? ??? ???.?,,
?????,606,???????,Sandan,????????? ??? ???.?,,
???,60601,?????,Chheu Teal,???? ??? ???.?,,
????,6060101,?????,Chheu Teal,????????? ??? ???.?,,
????,6060102,??????,Boeng Rolum,????????? ??? ???.?,,
????,6060103,??????????,Kampong Ta Baen,????????? ??? ???.?,,
????,6060104,?????,Samret,????????? ??? ???.?,,
????,6060105,?????????????,Veal Pring Kraom,????????? ??? ???.?,,
????,6060106,?????,Kae Rang,????????? ??? ???.?,,
????,6060107,???????,Boeng Pra,????????? ??? ???.?,,
????,6060108,???????????,Andoung Pring,????????? ??? ???.?,,
????,6060109,??????????,Prey Kanlaeng,????????? ??? ???.?,,
????,6060110,???????,Choam Phka,????????? ???? ????,????????,
????,6060111,??????????,Konlong Khting,????????? ???? ????,????????,
???,60602,????????,Dang Kambet,??? ??? ???.?,,
????,6060201,??????????,Srae Khsach,????????? ??? ???.?,,
????,6060202,?????????????,Srae Veal Khang Lech,????????? ??? ???.?,,
????,6060203,?????????????,Srae Veal Khang Kaeut,????????? ??? ???.?,,
????,6060204,????????,Sampoar Touch,????????? ??? ???.?,,
????,6060205,???????,Sampoar Thum,????????? ??? ???.?,,
???,60603,?????,Klaeng,??? ??? ???.?,,
????,6060301,????????,Peam Klaeng,????????? ??? ???.?,,
????,6060302,??????,Roka Chuor,????????? ??? ???.?,,
????,6060303,??????,Tuek Vil,????????? ??? ???.?,,
????,6060304,???????,Prey Choar,????????? ??? ???.?,,
????,6060305,?????,Klaeng,????????? ??? ???.?,,
????,6060306,??????????,Kampout Chhuk,????????? ??? ???.?,??????????????????? ??????????,
????,6060307,??????,Trakuon,????????? ??? ???.?,,
????,6060308,???????????,Angkor Sen Chey,????????? ???? ????,????????,
???,60604,????????,Mean Rith,??? ??? ???.?,,
????,6060401,??????,Kantir,????????? ??? ???.?,,
????,6060402,???,Boeng,????????? ??? ???.?,,
????,6060403,?????,Sam Aong,????????? ??? ???.?,,
????,6060404,????????,Choam Svay,????????? ??? ???.?,,
????,6060405,????????,Tboung Tuek,????????? ??? ???.?,,
????,6060406,?????????????,Trapeang Tralach,????????? ??? ???.?,,
????,6060407,????????,Rang Khnay,????????? ??? ???.?,,
????,6060408,????????????,Ou Pok Sameakki,????????? ???? ????,????????,
???,60605,??????,Mean Chey,??? ??? ???.?,,
????,6060501,??????????,Chek Muoy Stong,????????? ??? ???.?,,
????,6060502,????????,Veal Snay,????????? ??? ???.?,,
